merchant_id,merchant_user_cnt,merchant_total_actions,merchant_item_cnt,merchant_brand_cnt,merchant_cat_cnt,merchant_action_0_cnt,merchant_action_1_cnt,merchant_action_2_cnt,merchant_action_3_cnt,merchant_buy_user_cnt,merchant_buy_ratio,merchant_avg_actions_per_user
1,30796,339140,2977,2,44,308236,444.0,17705,12755,7666,0.24892034938468033,11.012111569308699
2,936,2371,154,1,10,2030,8.0,189,144,161,0.1718249733191035,2.5304162219850586
3,1136,2645,171,1,4,2399,4.0,67,175,65,0.05716798592788039,2.326297273526825
4,1481,3106,155,2,7,2646,2.0,294,164,201,0.13562753036437247,2.095816464237517
5,3652,8192,660,1,23,7483,9.0,144,556,120,0.03284971256501506,2.2425403777716943
6,659,1598,144,2,7,1390,6.0,82,120,70,0.10606060606060606,2.4212121212121214
7,1608,4106,41,3,13,3521,7.0,399,179,383,0.23803604723430702,2.5518955873213174
8,1239,4244,96,1,13,3540,3.0,395,306,186,0.15,3.42258064516129
9,941,2262,271,21,17,2096,7.0,94,65,78,0.08280254777070063,2.4012738853503186
10,5517,21188,463,2,13,19125,64.0,1133,866,995,0.18031895614353027,3.8397970279086624
11,4551,13514,134,2,4,11397,18.0,1256,843,750,0.1647627416520211,2.968804920913884
12,3806,9655,82,1,8,8548,7.0,592,508,459,0.12056737588652482,2.5361176779616494
13,2589,7842,45,1,10,6589,15.0,937,301,620,0.23938223938223938,3.027799227799228
14,1926,6396,224,1,13,5709,3.0,379,305,253,0.13129216398546964,3.3191489361702127
15,249,1850,55,2,3,1616,4.0,178,52,85,0.34,7.4
16,1571,3887,182,27,37,3446,10.0,285,146,244,0.15521628498727735,2.47264631043257
17,613,1306,57,1,3,1135,1.0,93,77,70,0.11400651465798045,2.1270358306188926
18,2071,3961,77,1,18,3550,2.0,101,308,95,0.04584942084942085,1.9116795366795367
19,1367,4019,174,6,47,3319,6.0,453,241,323,0.2361111111111111,2.9378654970760234
20,1636,8346,556,1,25,7509,15.0,480,342,321,0.19609040928527796,5.098350641417227
21,961,2339,10,3,5,1804,3.0,358,174,339,0.3523908523908524,2.4313929313929314
22,1045,2176,33,1,5,1876,3.0,192,105,159,0.15200764818355642,2.0803059273422564
23,1919,4291,404,1,4,3789,4.0,209,289,190,0.09895833333333333,2.2348958333333333
24,1595,5189,38,2,4,4480,19.0,499,191,362,0.22681704260651628,3.25125313283208
25,1148,2878,142,1,8,2404,9.0,302,163,217,0.1888598781549173,2.504786771105309
26,1603,5531,347,1,18,5103,1.0,245,182,179,0.11159600997506235,3.4482543640897756
27,2414,10775,476,1,21,10022,19.0,401,333,286,0.11842650103519668,4.461697722567288
28,14377,104742,659,1,21,97130,95.0,1621,5896,936,0.0650994575045208,7.28487967728474
29,1337,3300,122,1,12,2841,2.0,213,244,181,0.1352765321375187,2.4663677130044843
30,1737,3726,118,1,11,3385,8.0,79,254,71,0.040851553509781355,2.143843498273878
31,662,2614,77,1,2,2285,8.0,221,100,152,0.22926093514328807,3.942684766214178
